player,position,team,age,minutes_played,touches,dribbles_completed,goals,shots,shots_on_target,passes_completed,passes,assists,tackles_won,overall_0-100,value_(€)
R. Rodríguez,DF,Switzerland,30,360,247,0,0,0,0,164,229,0,2,76,7000000
J. Maclaren,FW,Australia,29,54,15,0,0,0,0,7,15,0,0,76,8000000
J. Musiala,MF,Germany,19,261,163,19,0,12,3,85,105,1,1,76,17500000
T. Kubo,FW,Japan,21,90,23,0,0,0,0,6,11,0,1,75,13500000
D. Bronn,DF,Tunisia,27,162,104,0,0,1,0,75,98,0,2,75,6500000
A. Silva,FW,Portugal,27,27,14,0,0,0,0,9,11,0,0,75,4700000
M. Grujic,MF,Serbia,26,9,20,0,0,1,1,14,17,0,1,75,8000000
M. Livaja,FW,Croatia,29,243,83,0,1,6,4,35,58,1,2,75,6000000
E. Valencia,FW,Ecuador,33,251,98,2,3,8,3,40,57,0,0,75,4800000
S. Widmer,DF,Switzerland,29,261,208,1,0,1,0,127,169,1,6,75,5000000
M. Turner,GK,United States,28,360,137,0,0,0,0,101,128,0,0,75,5000000
A. Mitrovic,FW,Serbia,28,261,95,1,2,10,3,54,69,0,0,75,6500000
S. Lukic,MF,Serbia,26,243,182,0,0,1,0,143,162,0,0,75,8500000
A. Bah,DF,Denmark,25,45,65,0,0,2,0,37,53,0,4,75,8500000
N. Radonjic,DF,Serbia,26,62,36,0,0,2,0,15,24,0,0,75,7500000
V. Janssen,FW,Netherlands,28,90,32,1,0,2,0,16,20,0,0,75,6500000
B. Bariic,DF,Croatia,30,117,81,0,0,1,0,50,69,0,1,75,5000000
C. Rodríguez,MF,Mexico,25,36,36,2,0,0,0,21,30,0,0,75,11000000
T. Tomiyasu,DF,Japan,24,189,118,0,0,0,0,73,103,0,0,75,12000000
C. Fassnacht,FW,Switzerland,29,9,12,2,0,1,1,7,10,0,0,75,6000000
N. Füllkrug,FW,Germany,29,72,38,1,2,8,3,15,24,1,0,75,6000000
M. Aebischer,MF,Switzerland,25,18,4,0,0,0,0,2,4,0,0,75,8500000
C. Roberts,DF,Wales,27,198,138,0,0,0,0,92,118,0,3,75,7000000
N. Sliti,MF,Tunisia,30,117,67,5,0,1,0,29,51,0,1,75,5500000
R. Skov,DF,Denmark,26,18,24,0,0,0,0,17,21,0,0,75,7500000
N. Mendy,MF,Senegal,30,270,182,1,0,2,0,141,159,0,4,75,4800000
A. Hutchinson,MF,Canada,39,162,131,1,0,2,0,100,112,0,1,75,1100000
R. Vargas,FW,Switzerland,24,288,140,1,0,3,1,80,117,1,0,75,12500000
T. Minamino,FW,Japan,27,62,32,0,0,2,1,14,22,0,1,75,6500000
H. Sakai,MF,Japan,32,117,70,0,0,1,0,28,47,0,4,75,4099999
C. Montes,DF,Mexico,25,270,222,2,0,1,0,159,197,1,3,75,11500000
J. Campbell,FW,Costa Rica,30,270,179,6,0,1,0,104,138,0,5,75,5500000
J. Foyth,DF,Argentina,24,9,5,1,0,0,0,3,4,0,0,75,11500000
H. Wilson,MF,Wales,25,162,81,0,0,2,0,48,64,0,2,75,9000000
J. Álvarez,FW,Argentina,22,468,174,0,4,11,8,93,121,0,2,75,12500000
J. Timber,DF,Netherlands,21,387,361,4,0,0,0,283,313,0,6,75,11500000
J. Ayew,FW,Ghana,31,135,68,1,0,1,1,35,46,1,3,75,5500000
J. Gallardo,DF,Mexico,28,270,167,3,0,1,0,93,134,0,5,75,6000000
J. Gvardiol,DF,Croatia,20,693,601,1,1,2,1,464,519,0,6,75,12500000
J. Morris,FW,United States,28,0,5,0,0,0,0,1,4,0,0,74,4600000
K. Moore,FW,Wales,30,225,95,0,0,6,2,36,56,0,0,74,4300000
W. Hennessey,GK,Wales,35,171,68,0,0,0,0,50,66,0,0,74,725000
A. Gholizadeh,MF,IR Iran,26,198,86,4,0,1,0,46,72,1,0,74,5500000
G. Plata,MF,Ecuador,22,270,133,4,0,2,1,77,104,0,2,74,9500000
K. Itakura,DF,Japan,25,270,150,0,0,3,1,98,111,1,5,74,6000000
K. Ansarifard,FW,IR Iran,32,36,11,0,0,1,0,4,5,0,0,74,3600000
M. Jensen,MF,Denmark,26,81,76,1,0,2,1,52,67,0,0,74,5500000
W. Zimmerman,DF,United States,29,279,274,0,0,1,0,217,244,0,2,74,4200000
